ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
ACIDENTE;MA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;***;PRIVADA;DESTRUÍDA
INCIDENTE;SP;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;LEVE
ACIDENTE;MG;1;NÃO;HELICÓPTERO;PISTÃO;MONOMOTOR;CRUZEIRO;TÁXI AÉREO;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;JATO;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;PROCEDIMENTO DE APROXIMAÇÃO IFR;PRIVADA;NENHUM
INCIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;TÁXI AÉREO;LEVE
INCIDENTE;DF;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;REGULAR;NENHUM
INCIDENTE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
ACIDENTE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
ACIDENTE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
ACIDENTE;PA;1;NÃO;ULTRALEVE;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
INCIDENTE;SP;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;NENHUM
ACIDENTE;MT;1;SIM;AVIÃO;PISTÃO;SEM TRAÇÃO;CORRIDA APÓS POUSO;AGRÍCOLA;SUBSTANCIAL
